Tên trang bị,Loại,Độ hiếm,Hiệu ứng / Kỹ năng,Map Chaos,Vị trí file ảnh PNG hoàn chỉnh
Flashbang,Weapon,Rare,"At the start of battle, apply 3 Weaken to a random enemy.",Shop,czn_equipment_images\Flashbang.png
Gastronomicon,Weapon,Rare,"When using an Attack Card with cost 2 or more, 3 Agony.",Shop,czn_equipment_images\Gastronomicon.png
Gladiator's Helmet,Armor,Rare,"At the start of battle, gain 2 Damage Reduction.",Shop,czn_equipment_images\Gladiators_Helmet.png
Golden Bell,Trinket,Rare,"At the start of the battle, decrease Stress of a random ally by 3.",Burning Life,czn_equipment_images\Golden_Bell.png
Gospel of Lament,Trinket,Rare,"When the Action Count of enemies increases, +30% Damage Amount to ally Attack Cards for 1 turn (1 time per turn)",Theater of Illusions,czn_equipment_images\Gospel_of_Lament.png
Harpoon Case of Broken Resolve,Weapon,Rare,Create 1 Pierce each odd turn.,Burning Life,czn_equipment_images\Harpoon_Case_of_Broken_Resolve.png
Hyperimmunity Hormone,Trinket,Rare,"When you Draw by an ability, +25% Shield gain for 1 turn (Max 2 times per turn).",Laboratory 0,czn_equipment_images\Hyperimmunity_Hormone.png
Incomplete Carapace,Armor,Rare,"At the end of the turn, if you have 5 or more Cards in hand, +140% Fixed Shield.",Laboratory 0,czn_equipment_images\Incomplete_Carapace.png
Launcher of Ruined Honor,Trinket,Rare,Create 1 Heavy Blow each even turn.,Burning Life,czn_equipment_images\Launcher_of_Ruined_Honor.png
Lightless Stem,Trinket,Rare,Increase Heal Amount by 15%.,Burning Life,czn_equipment_images\Lightless_Stem.png
Lush Seaweed Armor,Armor,Rare,"When gaining Shield, gain 30% Fixed Shield.",Shop,czn_equipment_images\Lush_Seaweed_Armor.png
M.S.S Data Pad,Trinket,Rare,"At the start of Nihilum battle, 2 Vulnerable to all enemies.",City of Mist,czn_equipment_images\MSS_Data_Pad.png
M85 Military Grenade,Weapon,Rare,"When using a Buff card, deal 150% Fixed Damage to all enemies.",Shop,czn_equipment_images\M85_Military_Grenade.png
Magic-Infused Sapphire,Trinket,Rare,"At the start of battle, if the Outbreak of War card is in hand, 1 Tenacity Damage to all enemies.",Shop,czn_equipment_images\Magic-Infused_Sapphire.png
Mask of Evil Spirits,Armor,Rare,"When taking damage, after 1 turn, +60% Fixed Shield at start of turn.",Swamp of Judgment,czn_equipment_images\Mask_of_Evil_Spirits.png
Millenium Arbor,Weapon,Rare,"When a 3-cost or higher card is activated, 1 Vulnerable to a random enemy.",Burning Life,czn_equipment_images\Millenium_Arbor.png
Moss Armor,Armor,Rare,"When an ally Attack Card was no activated for 1 turn and the turn ended, 100% Fixed Shield.",Burning Life,czn_equipment_images\Moss_Armor.png
Multifaceted Parallel Universe Nexus,Trinket,Rare,"At the start of turn, activate 1 random Initiative card in hand.",Shop,czn_equipment_images\Multifaceted_Parallel_Universe_Nexus.png
Nerve Hacking Module,Trinket,Rare,"When an ally uses a Forbidden Card, +20% Damage amount and +20% Shield gain for 1 turn (Max 2 times per turn).",Laboratory 0,czn_equipment_images\Nerve_Hacking_Module.png
Obsidian Sword,Weapon,Rare,Increase damage amount by 12%.,Shop,czn_equipment_images\Obsidian_Sword.png
Overcurrent Shock Unit,Weapon,Rare,"When you Draw by an ability, 50% Fixed Damage to a random enemy.",Laboratory 0,czn_equipment_images\Overcurrent_Shock_Unit.png
Plant Doll,Trinket,Rare,"When 4 Skill Cards are Exhausted, decrease Stress of a random ally by 1.",Burning Life,czn_equipment_images\Plant_Doll.png
Poacher's Pathfinder,Trinket,Rare,"In Sekred battle, +25% Damage, 2 Vulnerable to all enemies.",Swamp of Judgment,czn_equipment_images\Poachers_Pathfinder.png
Proof of Initiation,Trinket,Rare,"In Chaos Order battles, +10% Defense.",The Blue Pot,czn_equipment_images\Proof_of_Initiation.png
Resolute Gauntlets,Armor,Rare,"At the start of Chaos Order battle, +20% Damage, 1 Damage Reduction.",The Blue Pot,czn_equipment_images\Resolute_Gauntlets.png
Rune Chord,Trinket,Rare,"If you have any Retained cards at the end of your turn, +60% Fixed Shield.",The Foretold Ruin,czn_equipment_images\Rune_Chord.png
Scout's Combat Boots,Armor,Rare,"On enemy defeat, +60% Fixed Shield.",Shop,czn_equipment_images\Scouts_Combat_Boots.png
Shield of Ashen Sacrifice,Armor,Rare,"If Damage is completely blocked, at the start of the next turn, create 1 Shield Blast.",Burning Life,czn_equipment_images\Shield_of_Ashen_Sacrifice.png
Shining Lyre,Armor,Rare,"At the start of the turn, if an ally Exhaust card is in hand, 60% Fixed Shield.",Burning Life,czn_equipment_images\Shining_Lyre.png
Someone’s Letter,Trinket,Rare,"At the end of the turn, if an ally Persona Card is in hand, 150% Fixed Damage to a random enemy",Theater of Illusions,czn_equipment_images\Someones_Letter.png
Soul Orb,Trinket,Rare,"When a card is Exhausted, 1 Tenacity Damage to all enemies (1 time per battle).",City of Mist,czn_equipment_images\Soul_Orb.png
Standard Gas Mask,Armor,Rare,"At the start of battle, gain 1 Immunity.",Shop,czn_equipment_images\Standard_Gas_Mask.png
Steeler's Dagger,Weapon,Rare,"Upon Defeat, +5-10 Credits (1 per battle).",The Blue Pot,czn_equipment_images\Steelers_Dagger.png
Summoned Lump of Light,Trinket,Rare,Increase Damage Amount of the third Attack Card created by 30% for 1 turn.,Burning Life,czn_equipment_images\Summoned_Lump_of_Light.png
Survivor's Hood,Armor,Rare,"At the start of battle, gain 140% Fixed Shield.",Shop,czn_equipment_images\Survivors_Hood.png
Sword of Judgment,Weapon,Rare,"When a card is Exhausted, increase Damage Amount by 10% for 1 turn (1 time per turn).",Burning Life,czn_equipment_images\Sword_of_Judgment.png
The Fading Flower of Life,Weapon,Rare,"If at max HP, +40% Damage.",Swamp of Judgment,czn_equipment_images\The_Fading_Flower_of_Life.png
The Famished One's Belly,Trinket,Rare,"When a card is Exhausted, +25% Damage, Recover 5% (1 per battle).",City of Mist,czn_equipment_images\The_Famished_Ones_Belly.png
Time Regulator,Trinket,Rare,Activate Epiphany for the equipped combatant.,Shop,czn_equipment_images\Time_Regulator.png
Titan Combat Suit,Armor,Rare,"When taking Damage, Recover 2% HP (1 per turn).",Shop,czn_equipment_images\Titan_Combat_Suit.png
Torch of Wrath,Weapon,Rare,"At the start of a turn, apply 2 Mark to a random enemy.",Shop,czn_equipment_images\Torch_of_Wrath.png
Vine Camouflage,Armor,Rare,"At the start of the turn, if Health is 30% or less, 1 Evade (2 times per battle).",Burning Life,czn_equipment_images\Vine_Camouflage.png
